Freq.	V(realim)
3.16227766016839e+004	(2.90375187798030e+001dB,-2.28278411533540e+000°)
3.98107170553498e+004	(2.90366561016083e+001dB,-2.87388712848280e+000°)
5.01187233627274e+004	(2.90353416158006e+001dB,-3.61755082876915e+000°)
6.30957344480195e+004	(2.90333482397335e+001dB,-4.55322239400804e+000°)
7.94328234724284e+004	(2.90303223312183e+001dB,-5.73065569378253e+000°)
1.00000000000000e+005	(2.90256948076489e+001dB,-7.21264720196797e+000°)
1.25892541179417e+005	(2.90185364251825e+001dB,-9.07844150700273e+000°)
1.58489319246112e+005	(2.90073313104471e+001dB,-1.14279977228470e+001°)
1.99526231496889e+005	(2.89896151667459e+001dB,-1.43874089285646e+001°)
2.51188643150959e+005	(2.89613718118014e+001dB,-1.81158168391432e+001°)
3.16227766016839e+005	(2.89159917330835e+001dB,-2.28141097257033e+001°)
3.98107170553499e+005	(2.88424327467041e+001dB,-2.87353398838553e+001°)
5.01187233627274e+005	(2.87219328785671e+001dB,-3.61954294298516e+001°)
6.30957344480196e+005	(2.85222221359649e+001dB,-4.55783814327455e+001°)
7.94328234724285e+005	(2.81881018594331e+001dB,-5.73187793379086e+001°)
1.00000000000000e+006	(2.76294390560298e+001dB,-7.18224235068023e+001°)
1.25892541179417e+006	(2.67164840952805e+001dB,-8.92728288731861e+001°)
1.58489319246112e+006	(2.53074929995517e+001dB,-1.09357278948150e+002°)
1.99526231496889e+006	(2.33240745687380e+001dB,-1.31202160108695e+002°)
2.51188643150959e+006	(2.08205549369604e+001dB,-1.53846695356786e+002°)
3.16227766016839e+006	(1.79643292957743e+001dB,-1.76963222323391e+002°)
3.98107170553499e+006	(1.49450292754937e+001dB,1.58754414516950e+002°)
5.01187233627275e+006	(1.18581336561003e+001dB,1.31461230645817e+002°)
6.30957344480196e+006	(8.45436893046736e+000dB,9.83727736190953e+001°)
7.94328234724285e+006	(3.77296405057048e+000dB,5.95566252007303e+001°)
1.00000000000000e+007	(-2.82457181278371e+000dB,2.47124196222999e+001°)
1.25892541179417e+007	(-1.01992142300340e+001dB,2.94458963009138e+000°)
1.58489319246112e+007	(-1.68119263248199e+001dB,-5.12401124771775e+000°)
1.99526231496889e+007	(-2.13281505115370e+001dB,-6.83060095543725e+000°)
2.51188643150959e+007	(-2.43934597088547e+001dB,-1.40335244950116e+001°)
3.16227766016839e+007	(-2.73865477603885e+001dB,-2.46881584623053e+001°)
3.98107170553499e+007	(-3.03076561372912e+001dB,-3.41958658415112e+001°)
5.01187233627275e+007	(-3.29555469502463e+001dB,-4.19381209174044e+001°)
6.30957344480196e+007	(-3.53207604429711e+001dB,-4.83079394527872e+001°)
7.94328234724286e+007	(-3.74724649862157e+001dB,-5.35678070196339e+001°)
1.00000000000000e+008	(-3.94782524662153e+001dB,-5.78240632081977e+001°)
