Freq.	V(n001)/Ix(ampli:I)
1.09283220540352e+000	(8.02489750789577e+001dB,-1.76367072988834e+001°)
1.13137084989848e+000	(8.02218777706865e+001dB,-1.70730714999620e+001°)
1.17126855675651e+000	(8.01964308758669e+001dB,-1.65252455423822e+001°)
1.21257325320832e+000	(8.01725431390141e+001dB,-1.59929855014047e+001°)
1.25533455663481e+000	(8.01501272584217e+001dB,-1.54760323413301e+001°)
1.29960383416998e+000	(8.01290998453894e+001dB,-1.49741139784978e+001°)
1.34543426440595e+000	(8.01093813658380e+001dB,-1.44869472173349e+001°)
1.39288090127381e+000	(8.00908960669019e+001dB,-1.40142395584214e+001°)
1.44200074017734e+000	(8.00735718908083e+001dB,-1.35556908793440e+001°)
1.49285278645890e+000	(8.00573403782234e+001dB,-1.31109949903158e+001°)
1.54549812627976e+000	(8.00421365630818e+001dB,-1.26798410674054e+001°)
1.60000000000001e+000	(8.00278988606594e+001dB,-1.22619149673243e+001°)
1.65642387814621e+000	(8.00145689505637e+001dB,-1.18569004282021e+001°)
1.71483754005808e+000	(8.00020916561006e+001dB,-1.14644801612891e+001°)
1.77531115530856e+000	(7.99904148212699e+001dB,-1.10843368390852e+001°)
1.83791736799527e+000	(7.99794891865660e+001dB,-1.07161539853992e+001°)
1.90273138400437e+000	(7.99692682645679e+001dB,-1.03596167730918e+001°)
1.96983106135188e+000	(7.99597082161582e+001dB,-1.00144127353805e+001°)
2.03929700371083e+000	(7.99507677281401e+001dB,-9.68023239632863e+000°)
2.11121265723664e+000	(7.99424078928109e+001dB,-9.35676982638857e+000°)
2.18566441080705e+000	(7.99345920900807e+001dB,-9.04372312832693e+000°)
2.26274169979697e+000	(7.99272858724891e+001dB,-8.74079485908058e+000°)
2.34253711351302e+000	(7.99204568535185e+001dB,-8.44769239251071e+000°)
2.42514650641665e+000	(7.99140745994090e+001dB,-8.16412822814992e+000°)
2.51066911326962e+000	(7.99081105247414e+001dB,-7.88982025042492e+000°)
2.59920766833997e+000	(7.99025377918640e+001dB,-7.62449194290399e+000°)
2.69086852881191e+000	(7.98973312143234e+001dB,-7.36787256161242e+000°)
2.78576180254762e+000	(7.98924671642698e+001dB,-7.11969727138363e+000°)
2.88400148035468e+000	(7.98879234839268e+001dB,-6.87970724878641e+000°)
2.98570557291781e+000	(7.98836794010704e+001dB,-6.64764975502074e+000°)
3.09099625255953e+000	(7.98797154484641e+001dB,-6.42327818193481e+000°)
3.20000000000002e+000	(7.98760133871996e+001dB,-6.20635207399958e+000°)
3.31284775629243e+000	(7.98725561338711e+001dB,-5.99663712890404e+000°)
3.42967508011616e+000	(7.98693276914315e+001dB,-5.79390517925700e+000°)
3.55062231061713e+000	(7.98663130837220e+001dB,-5.59793415751101e+000°)
3.67583473599054e+000	(7.98634982934044e+001dB,-5.40850804634319e+000°)
3.80546276800874e+000	(7.98608702033406e+001dB,-5.22541681613911e+000°)
3.93966212270376e+000	(7.98584165411623e+001dB,-5.04845635144618e+000°)
4.07859400742167e+000	(7.98561258269503e+001dB,-4.87742836784468e+000°)
4.22242531447330e+000	(7.98539873239055e+001dB,-4.71214032065527e+000°)
4.37132882161410e+000	(7.98519909918273e+001dB,-4.55240530674305e+000°)
4.52548339959394e+000	(7.98501274433080e+001dB,-4.39804196057017e+000°)
4.68507422702604e+000	(7.98483879025334e+001dB,-4.24887434545267e+000°)
4.85029301283332e+000	(7.98467641664640e+001dB,-4.10473184105242e+000°)
5.02133822653925e+000	(7.98452485683992e+001dB,-3.96544902780997e+000°)
5.19841533667995e+000	(7.98438339437202e+001dB,-3.83086556910798e+000°)
5.38173705762382e+000	(7.98425135977027e+001dB,-3.70082609183512e+000°)
5.57152360509524e+000	(7.98412812753311e+001dB,-3.57518006587540e+000°)
5.76800296070936e+000	(7.98401311329375e+001dB,-3.45378168308924e+000°)
5.97141114583562e+000	(7.98390577116330e+001dB,-3.33648973619543e+000°)
6.18199250511907e+000	(7.98380559123815e+001dB,-3.22316749799004e+000°)
6.40000000000006e+000	(7.98371209726169e+001dB,-3.11368260123651e+000°)
6.62569551258488e+000	(7.98362484443721e+001dB,-3.00790691950462e+000°)
6.85935016023234e+000	(7.98354341737563e+001dB,-2.90571644926962e+000°)
7.10124462123427e+000	(7.98346742817536e+001dB,-2.80699119346580e+000°)
7.35166947198109e+000	(7.98339651462402e+001dB,-2.71161504669256e+000°)
7.61092553601749e+000	(7.98333033851378e+001dB,-2.61947568225768e+000°)
7.87932424540754e+000	(7.98326858406761e+001dB,-2.53046444116039e+000°)
8.15718801484335e+000	(7.98321095646645e+001dB,-2.44447622316602e+000°)
8.44485062894660e+000	(7.98315718046601e+001dB,-2.36140938005424e+000°)
8.74265764322822e+000	(7.98310699911175e+001dB,-2.28116561109237e+000°)
9.05096679918790e+000	(7.98306017253011e+001dB,-2.20364986083676e+000°)
9.37014845405209e+000	(7.98301647680128e+001dB,-2.12877021926365e+000°)
9.70058602566664e+000	(7.98297570290488e+001dB,-2.05643782428937e+000°)
1.00426764530785e+001	(7.98293765573954e+001dB,-1.98656676665956e+000°)
1.03968306733599e+001	(7.98290215318668e+001dB,-1.91907399733718e+000°)
1.07634741152477e+001	(7.98286902526936e+001dB,-1.85387923713229e+000°)
1.11430472101905e+001	(7.98283811333493e+001dB,-1.79090488888605e+000°)
1.15360059214187e+001	(7.98280926930956e+001dB,-1.73007595195091e+000°)
1.19428222916713e+001	(7.98278235499202e+001dB,-1.67131993906948e+000°)
1.23639850102382e+001	(7.98275724139980e+001dB,-1.61456679557180e+000°)
1.28000000000001e+001	(7.98273380815684e+001dB,-1.55974882087688e+000°)
1.32513910251698e+001	(7.98271194292119e+001dB,-1.50680059228188e+000°)
1.37187003204647e+001	(7.98269154084907e+001dB,-1.45565889097098e+000°)
1.42024892424686e+001	(7.98267250409768e+001dB,-1.40626263022652e+000°)
1.47033389439622e+001	(7.98265474135783e+001dB,-1.35855278579264e+000°)
1.52218510720350e+001	(7.98263816742003e+001dB,-1.31247232834060e+000°)
1.57586484908151e+001	(7.98262270276610e+001dB,-1.26796615801192e+000°)
1.63143760296867e+001	(7.98260827319209e+001dB,-1.22498104097548e+000°)
1.68897012578932e+001	(7.98259480945159e+001dB,-1.18346554794229e+000°)
1.74853152864565e+001	(7.98258224692727e+001dB,-1.14336999462330e+000°)
1.81019335983758e+001	(7.98257052532118e+001dB,-1.10464638405799e+000°)
1.87402969081042e+001	(7.98255958836611e+001dB,-1.06724835076600e+000°)
1.94011720513333e+001	(7.98254938355655e+001dB,-1.03113110668353e+000°)
2.00853529061570e+001	(7.98253986190002e+001dB,-9.96251388839014e-001°)
2.07936613467199e+001	(7.98253097767590e+001dB,-9.62567408711849e-001°)
2.15269482304953e+001	(7.98252268822533e+001dB,-9.30038803221449e-001°)
2.22860944203810e+001	(7.98251495374144e+001dB,-8.98626587327384e-001°)
2.30720118428375e+001	(7.98250773708077e+001dB,-8.68293108171678e-001°)
2.38856445833426e+001	(7.98250100358684e+001dB,-8.39002000712852e-001°)
2.47279700204763e+001	(7.98249472091235e+001dB,-8.10718144866377e-001°)
2.56000000000003e+001	(7.98248885888557e+001dB,-7.83407623977446e-001°)
2.65027820503396e+001	(7.98248338934788e+001dB,-7.57037684765270e-001°)
2.74374006409294e+001	(7.98247828602689e+001dB,-7.31576698525863e-001°)
2.84049784849372e+001	(7.98247352440563e+001dB,-7.06994123688820e-001°)
2.94066778879245e+001	(7.98246908161196e+001dB,-6.83260469573314e-001°)
3.04437021440700e+001	(7.98246493630095e+001dB,-6.60347261394817e-001°)
3.15172969816302e+001	(7.98246106855839e+001dB,-6.38227006447577e-001°)
3.26287520593735e+001	(7.98245745979850e+001dB,-6.16873161428599e-001°)
3.37794025157865e+001	(7.98245409268488e+001dB,-5.96260100840382e-001°)
3.49706305729130e+001	(7.98245095103993e+001dB,-5.76363086495612e-001°)
3.62038671967517e+001	(7.98244801976981e+001dB,-5.57158238073047e-001°)
3.74805938162085e+001	(7.98244528478772e+001dB,-5.38622504635907e-001°)
3.88023441026667e+001	(7.98244273295554e+001dB,-5.20733637146619e-001°)
4.01707058123142e+001	(7.98244035200657e+001dB,-5.03470161948578e-001°)
4.15873226934398e+001	(7.98243813050365e+001dB,-4.86811355103977e-001°)
4.30538964609907e+001	(7.98243605776903e+001dB,-4.70737217676356e-001°)
4.45721888407621e+001	(7.98243412384670e+001dB,-4.55228451822028e-001°)
4.61440236856751e+001	(7.98243231943812e+001dB,-4.40266437750477e-001°)
4.77712891666852e+001	(7.98243063587671e+001dB,-4.25833211443177e-001°)
4.94559400409527e+001	(7.98242906507061e+001dB,-4.11911443199266e-001°)
5.12000000000007e+001	(7.98242759946882e+001dB,-3.98484416882464e-001°)
5.30055641006792e+001	(7.98242623203003e+001dB,-3.85536009945041e-001°)
5.48748012818590e+001	(7.98242495618344e+001dB,-3.73050674105831e-001°)
5.68099569698744e+001	(7.98242376579560e+001dB,-3.61013416761091e-001°)
5.88133557758490e+001	(7.98242265514837e+001dB,-3.49409783039129e-001°)
6.08874042881402e+001	(7.98242161890068e+001dB,-3.38225838447411e-001°)
6.30345939632606e+001	(7.98242065207687e+001dB,-3.27448152223108e-001°)
6.52575041187471e+001	(7.98241975002413e+001dB,-3.17063781249332e-001°)
6.75588050315731e+001	(7.98241890841281e+001dB,-3.07060254487663e-001°)
6.99412611458260e+001	(7.98241812319832e+001dB,-2.97425558092423e-001°)
7.24077343935035e+001	(7.98241739060325e+001dB,-2.88148120996552e-001°)
7.49611876324171e+001	(7.98241670710580e+001dB,-2.79216801014788e-001°)
7.76046882053335e+001	(7.98241606942569e+001dB,-2.70620871507492e-001°)
8.03414116246284e+001	(7.98241547449731e+001dB,-2.62350008516022e-001°)
8.31746453868797e+001	(7.98241491945804e+001dB,-2.54394278380571e-001°)
8.61077929219816e+001	(7.98241440164247e+001dB,-2.46744125814226e-001°)
8.91443776815244e+001	(7.98241391856381e+001dB,-2.39390362463567e-001°)
9.22880473713504e+001	(7.98241346789490e+001dB,-2.32324155871100e-001°)
9.55425783333705e+001	(7.98241304747656e+001dB,-2.25537018874447e-001°)
9.89118800819056e+001	(7.98241265528099e+001dB,-2.19020799447952e-001°)
1.02400000000002e+002	(7.98241228942947e+001dB,-2.12767670884890e-001°)
1.06011128201359e+002	(7.98241194815929e+001dB,-2.06770122446996e-001°)
1.09749602563718e+002	(7.98241162983376e+001dB,-2.01020950303787e-001°)
1.13619913939749e+002	(7.98241133291893e+001dB,-1.95513248927591e-001°)
1.17626711551698e+002	(7.98241105599024e+001dB,-1.90240402812362e-001°)
1.21774808576280e+002	(7.98241079771700e+001dB,-1.85196078466438e-001°)
1.26069187926521e+002	(7.98241055685489e+001dB,-1.80374216889660e-001°)
1.30515008237494e+002	(7.98241033225104e+001dB,-1.75769026263914e-001°)
1.35117610063146e+002	(7.98241012282405e+001dB,-1.71374974992124e-001°)
1.39882522291652e+002	(7.98240992756464e+001dB,-1.67186785062006e-001°)
1.44815468787007e+002	(7.98240974553689e+001dB,-1.63199425751883e-001°)
1.49922375264834e+002	(7.98240957586751e+001dB,-1.59408107513637e-001°)
1.55209376410667e+002	(7.98240941773574e+001dB,-1.55808276289224e-001°)
1.60682823249257e+002	(7.98240927038737e+001dB,-1.52395608030327e-001°)
1.66349290773760e+002	(7.98240913311042e+001dB,-1.49166003453672e-001°)
1.72215585843964e+002	(7.98240900524485e+001dB,-1.46115583205977e-001°)
1.78288755363049e+002	(7.98240888617765e+001dB,-1.43240683140275e-001°)
1.84576094742701e+002	(7.98240877533929e+001dB,-1.40537849919272e-001°)
1.91085156666741e+002	(7.98240867219058e+001dB,-1.38003836918448e-001°)
1.97823760163812e+002	(7.98240857623892e+001dB,-1.35635600294345e-001°)
2.04800000000003e+002	(7.98240848702625e+001dB,-1.33430295280061e-001°)
2.12022256402718e+002	(7.98240840411886e+001dB,-1.31385272903280e-001°)
2.19499205127437e+002	(7.98240832712309e+001dB,-1.29498076621194e-001°)
2.27239827879498e+002	(7.98240825566511e+001dB,-1.27766439557117e-001°)
2.35253423103397e+002	(7.98240818939942e+001dB,-1.26188281693773e-001°)
2.43549617152561e+002	(7.98240812801568e+001dB,-1.24761707278917e-001°)
2.52138375853043e+002	(7.98240807120947e+001dB,-1.23485002746624e-001°)
2.61030016474989e+002	(7.98240801871207e+001dB,-1.22356634530319e-001°)
2.70235220126293e+002	(7.98240797027297e+001dB,-1.21375247206173e-001°)
2.79765044583305e+002	(7.98240792565960e+001dB,-1.20539661923971e-001°)
2.89630937574015e+002	(7.98240788465170e+001dB,-1.19848875029675e-001°)
2.99844750529669e+002	(7.98240784705572e+001dB,-1.19302056776766e-001°)
3.10418752821335e+002	(7.98240781269375e+001dB,-1.18898550277155e-001°)
3.21365646498515e+002	(7.98240778139497e+001dB,-1.18637870964811e-001°)
3.32698581547520e+002	(7.98240775301531e+001dB,-1.18519705671276e-001°)
3.44431171687928e+002	(7.98240772741147e+001dB,-1.18543912533604e-001°)
3.56577510726099e+002	(7.98240770446717e+001dB,-1.18710520656655e-001°)
3.69152189485403e+002	(7.98240768406852e+001dB,-1.19019730243817e-001°)
3.82170313333483e+002	(7.98240766611893e+001dB,-1.19471912799817e-001°)
3.95647520327624e+002	(7.98240765052826e+001dB,-1.20067611534060e-001°)
4.09600000000007e+002	(7.98240763722483e+001dB,-1.20807542103155e-001°)
4.24044512805436e+002	(7.98240762614542e+001dB,-1.21692593393337e-001°)
4.38998410254874e+002	(7.98240761723536e+001dB,-1.22723828662092e-001°)
4.54479655758998e+002	(7.98240761045219e+001dB,-1.23902486714081e-001°)
4.70506846206794e+002	(7.98240760576076e+001dB,-1.25229983576973e-001°)
4.87099234305124e+002	(7.98240760314398e+001dB,-1.26707913840307e-001°)
5.04276751706087e+002	(7.98240760258613e+001dB,-1.28338053023223e-001°)
5.22060032949979e+002	(7.98240760408075e+001dB,-1.30122359510559e-001°)
5.40470440252588e+002	(7.98240760764390e+001dB,-1.32062976703741e-001°)
5.59530089166611e+002	(7.98240761328387e+001dB,-1.34162235890102e-001°)
5.79261875148031e+002	(7.98240762103552e+001dB,-1.36422658962880e-001°)
5.99689501059339e+002	(7.98240763092683e+001dB,-1.38846961408208e-001°)
6.20837505642671e+002	(7.98240764301407e+001dB,-1.41438055513171e-001°)
6.42731292997030e+002	(7.98240765734106e+001dB,-1.44199054076232e-001°)
6.65397163095041e+002	(7.98240767399819e+001dB,-1.47133273852814e-001°)
6.88862343375856e+002	(7.98240769305511e+001dB,-1.50244239855031e-001°)
7.13155021452198e+002	(7.98240771460327e+001dB,-1.53535689254017e-001°)
7.38304378970806e+002	(7.98240773874688e+001dB,-1.57011576260227e-001°)
7.64340626666967e+002	(7.98240776560072e+001dB,-1.60676076528736e-001°)
7.91295040655249e+002	(7.98240779528707e+001dB,-1.64533592328671e-001°)
8.19200000000016e+002	(7.98240782796325e+001dB,-1.68588757864820e-001°)
8.48089025610873e+002	(7.98240786377756e+001dB,-1.72846444715299e-001°)
8.77996820509748e+002	(7.98240790290569e+001dB,-1.77311767880677e-001°)
9.08959311517996e+002	(7.98240794553324e+001dB,-1.81990091834773e-001°)
9.41013692413589e+002	(7.98240799186536e+001dB,-1.86887036889493e-001°)
9.74198468610248e+002	(7.98240804212366e+001dB,-1.92008485953828e-001°)
1.00855350341218e+003	(7.98240809654993e+001dB,-1.97360591972923e-001°)
1.04412006589996e+003	(7.98240815540733e+001dB,-2.02949784812158e-001°)
1.08094088050518e+003	(7.98240821897986e+001dB,-2.08782779141472e-001°)
1.11906017833322e+003	(7.98240828756734e+001dB,-2.14866582796066e-001°)
1.15852375029606e+003	(7.98240836150591e+001dB,-2.21208504890054e-001°)
1.19937900211868e+003	(7.98240844114076e+001dB,-2.27816164652715e-001°)
1.24167501128534e+003	(7.98240852686993e+001dB,-2.34697500691184e-001°)
1.28546258599406e+003	(7.98240861909442e+001dB,-2.41860780476717e-001°)
1.33079432619008e+003	(7.98240871826226e+001dB,-2.49314610347923e-001°)
1.37772468675171e+003	(7.98240882484564e+001dB,-2.57067945838334e-001°)
1.42631004290440e+003	(7.98240893936032e+001dB,-2.65130102253403e-001°)
1.47660875794161e+003	(7.98240906234936e+001dB,-2.73510766309910e-001°)
1.52868125333394e+003	(7.98240919441597e+001dB,-2.82220007338398e-001°)
1.58259008131050e+003	(7.98240933618595e+001dB,-2.91268289751437e-001°)
1.63840000000003e+003	(7.98240948834481e+001dB,-3.00666485363707e-001°)
1.69617805122175e+003	(7.98240965161918e+001dB,-3.10425886795179e-001°)
1.75599364101950e+003	(7.98240982678825e+001dB,-3.20558220621507e-001°)
1.81791862303600e+003	(7.98241001471108e+001dB,-3.31075662001139e-001°)
1.88202738482718e+003	(7.98241021627657e+001dB,-3.41990848893211e-001°)
1.94839693722050e+003	(7.98241043245299e+001dB,-3.53316897781217e-001°)
2.01710700682435e+003	(7.98241066428831e+001dB,-3.65067418638408e-001°)
2.08824013179992e+003	(7.98241091288811e+001dB,-3.77256532491551e-001°)
2.16188176101036e+003	(7.98241117944324e+001dB,-3.89898887546224e-001°)
2.23812035666645e+003	(7.98241146524525e+001dB,-4.03009676792510e-001°)
2.31704750059213e+003	(7.98241177165235e+001dB,-4.16604657539404e-001°)
2.39875800423736e+003	(7.98241210015120e+001dB,-4.30700168290111e-001°)
2.48335002257069e+003	(7.98241245230670e+001dB,-4.45313151010577e-001°)
2.57092517198813e+003	(7.98241282982013e+001dB,-4.60461169337461e-001°)
2.66158865238017e+003	(7.98241323449120e+001dB,-4.76162431063539e-001°)
2.75544937350343e+003	(7.98241366827850e+001dB,-4.92435809798856e-001°)
2.85262008580880e+003	(7.98241413324740e+001dB,-5.09300867868251e-001°)
2.95321751588323e+003	(7.98241463163498e+001dB,-5.26777879543374e-001°)
3.05736250666788e+003	(7.98241516583837e+001dB,-5.44887856198213e-001°)
3.16518016262100e+003	(7.98241573841200e+001dB,-5.63652571360335e-001°)
3.27680000000007e+003	(7.98241635211489e+001dB,-5.83094586718281e-001°)
3.39235610244350e+003	(7.98241700988607e+001dB,-6.03237280730566e-001°)
3.51198728203900e+003	(7.98241771488208e+001dB,-6.24104874810909e-001°)
3.63583724607200e+003	(7.98241847047606e+001dB,-6.45722465461600e-001°)
3.76405476965437e+003	(7.98241928030209e+001dB,-6.68116052067474e-001°)
3.89679387444101e+003	(7.98242014823772e+001dB,-6.91312569991188e-001°)
4.03421401364871e+003	(7.98242107844944e+001dB,-7.15339923433859e-001°)
4.17648026359985e+003	(7.98242207538194e+001dB,-7.40227018047884e-001°)
4.32376352202072e+003	(7.98242314381621e+001dB,-7.66003797598834e-001°)
4.47624071333291e+003	(7.98242428888708e+001dB,-7.92701280037333e-001°)
4.63409500118427e+003	(7.98242551605925e+001dB,-8.20351594271893e-001°)
4.79751600847474e+003	(7.98242683121569e+001dB,-8.48988020829231e-001°)
4.96670004514139e+003	(7.98242824065735e+001dB,-8.78645031904858e-001°)
5.14185034397627e+003	(7.98242975112068e+001dB,-9.09358333775433e-001°)
5.32317730476035e+003	(7.98243136982004e+001dB,-9.41164910433928e-001°)
5.51089874700687e+003	(7.98243310453042e+001dB,-9.74103068876815e-001°)
5.70524017161761e+003	(7.98243496352176e+001dB,-1.00821248551174e+000°)
5.90643503176648e+003	(7.98243695568447e+001dB,-1.04353425710051e+000°)
6.11472501333576e+003	(7.98243909052468e+001dB,-1.08011094921198e+000°)
6.33036032524202e+003	(7.98244137824659e+001dB,-1.11798665018800e+000°)
6.55360000000016e+003	(7.98244382977951e+001dB,-1.15720702485451e+000°)
6.78471220488701e+003	(7.98244645679696e+001dB,-1.19781937255980e+000°)
7.02397456407802e+003	(7.98244927183376e+001dB,-1.23987268353151e+000°)
7.27167449214400e+003	(7.98245228829857e+001dB,-1.28341770229478e+000°)
7.52810953930875e+003	(7.98245552053849e+001dB,-1.32850699103316e+000°)
7.79358774888202e+003	(7.98245898396953e+001dB,-1.37519499267066e+000°)
8.06842802729744e+003	(7.98246269504113e+001dB,-1.42353810300605e+000°)
8.35296052719972e+003	(7.98246667138383e+001dB,-1.47359474030919e+000°)
8.64752704404145e+003	(7.98247093186004e+001dB,-1.52542541637524e+000°)
8.95248142666582e+003	(7.98247549670610e+001dB,-1.57909282012134e+000°)
9.26819000236854e+003	(7.98248038754443e+001dB,-1.63466188962914e+000°)
9.59503201694948e+003	(7.98248562750539e+001dB,-1.69219990145794e+000°)
9.93340009028279e+003	(7.98249124139513e+001dB,-1.75177655259973e+000°)
1.02837006879525e+004	(7.98249725569689e+001dB,-1.81346405548385e+000°)
1.06463546095207e+004	(7.98250369879788e+001dB,-1.87733722522819e+000°)
1.10217974940138e+004	(7.98251060102891e+001dB,-1.94347358326485e+000°)
1.14104803432352e+004	(7.98251799487665e+001dB,-2.01195345453073e+000°)
1.18128700635330e+004	(7.98252591502122e+001dB,-2.08286007726772e+000°)
1.22294500266715e+004	(7.98253439860954e+001dB,-2.15627970904009e+000°)
1.26607206504840e+004	(7.98254348534420e+001dB,-2.23230174954716e+000°)
1.31072000000003e+004	(7.98255321763701e+001dB,-2.31101885020668e+000°)
1.35694244097740e+004	(7.98256364086276e+001dB,-2.39252704893922e+000°)
1.40479491281561e+004	(7.98257480345248e+001dB,-2.47692589738856e+000°)
1.45433489842880e+004	(7.98258675718463e+001dB,-2.56431859829660e+000°)
1.50562190786175e+004	(7.98259955735476e+001dB,-2.65481215356559e+000°)
1.55871754977641e+004	(7.98261326298674e+001dB,-2.74851750200415e+000°)
1.61368560545949e+004	(7.98262793709182e+001dB,-2.84554969730621e+000°)
1.67059210543995e+004	(7.98264364694135e+001dB,-2.94602805135221e+000°)
1.72950540880829e+004	(7.98266046423831e+001dB,-3.05007632056160e+000°)
1.79049628533317e+004	(7.98267846549709e+001dB,-3.15782288412817e+000°)
1.85363800047371e+004	(7.98269773227043e+001dB,-3.26940093312353e+000°)
1.91900640338990e+004	(7.98271835141061e+001dB,-3.38494867375360e+000°)
1.98668001805656e+004	(7.98274041548771e+001dB,-3.50460953460645e+000°)
2.05674013759051e+004	(7.98276402296348e+001dB,-3.62853238969075e+000°)
2.12927092190415e+004	(7.98278927863824e+001dB,-3.75687179879509e+000°)
2.20435949880275e+004	(7.98281629392943e+001dB,-3.88978823768570e+000°)
2.28209606864705e+004	(7.98284518723953e+001dB,-4.02744838097790e+000°)
